Title,Ingredients,Recipe,Prep & Cooking Time
Mignon pomme,2 filets mignons; 3 pommes granny-smith; 30 cl de jus de pomme; 50 g de noisettes; 1 pincée de piment séché; 50 g + 60 g de beurre; Sel,"Éplucher les filets mignons et les couper en grenadins. Couper les pommes en quartiers et enlever le cœur. Dans une sauteuse, faire revenir les filets mignons avec les pommes dans 50 g de beurre pendant 10 minutes, à feu doux, en les retournant régulièrement. Déglacer avec le jus de pomme, laisser réduire de moitié et ajouter 60 g de beurre froid. Émulsionner en portant à ébullition. Parsemer les noisettes grossièrement écrasées et le piment. Saler.","Préparation 15 minutes, Cuisson 20 minutes"
Cochon linguine citronnelle,"500 g de filet de cochon; 200 g de linguine; 2 feuilles de laurier; 2 tiges de citronnelle; La peau de 1 citron; 1 piment rouge; 60 cl de bouillon de légumes; 20 cl de crème liquide; 1 oignon rouge; 2 gousses d'ail; 3 cuillerées à soupe d'huile d'olive; Sel, poivre","Éplucher l'oignon rouge et l'ail, puis les émincer. Couper la citronnelle en deux. Émincer grossièrement le piment. Couper le cochon en fines lanières. Dans une poêle, faire revenir dans l'huile l'oignon avec l'ail, la citronnelle, le piment, le laurier et la peau du citron pendant 5 minutes. Mouiller avec le bouillon et porter à ébullition. Ajouter les linguine et remuer pendant 3 minutes. Ajouter la viande et la crème, et continuer la cuisson selon le temps indiqué sur le paquet des pâtes. Assaisonner.","Préparation 15 minutes, Cuisson 15 minutes"
Cochonchine,"500 g d'échine de cochon; 80 g de vermicelles chinois; 50 g de champignons noirs séchés; 2 carottes; 30 g de cacahuètes salées; 1 tige de citronnelle; 2 échalotes; 4 gousses d'ail; 3 cuillerées à soupe d'huile de sésame; 1 cuillerée à soupe de sucre roux; 2 cuillerées à soupe de sauce soja; ½ bouquet de persil; Sel, poivre","Dans une poêle antiadhésive, faire bouillir de l'eau sur 1 cm avec les champignons pendant 5 minutes. Arrêter le feu, ajouter les vermicelles et laisser pendant 3 minutes. Égoutter. Éplucher et émincer l'ail, les échalotes et la citronnelle. Éplucher et couper les carottes en fins bâtonnets, puis émincer le cochon en lanières. Dans la même poêle, faire revenir dans l'huile de sésame le cochon avec les échalotes, les carottes, l'ail, les cacahuètes et la citronnelle. Verser le sucre et faire cuire à feu doux pendant 5 minutes. Ajouter la sauce soja, les vermicelles et les champignons, et prolonger la cuisson de 5 minutes. Parsemer les pluches de persil et assaisonner.","Préparation 15 minutes, Cuisson 15 minutes"
Cochon ananas piment,600 g d'échine de cochon; 1 petit ananas; 3 oignons; 1 piment rouge; 1 piment vert; 10 cl de vin blanc; 3 cuillerées à soupe de sauce au tamarin; 50 g de beurre; 2 cuillerées à soupe d'huile d'olive; Sel,"Couper l'échine en petits cubes de 2 cm. Hacher finement les piments. Éplucher et émincer les oignons. Éplucher l'ananas en enlevant les yeux et le couper en cubes de la même taille que la viande. Dans une poêle faire, revenir les oignons avec le cochon dans un mélange de beurre et d'huile d'olive, pendant 10 minutes, en les colorant bien. Ajouter l'ananas et les piments, mouiller avec le vin blanc, verser la sauce au tamarin et prolonger la cuisson de 20 minutes jusqu'à totale évaporation du liquide. Saler.","Préparation 15 minutes, Cuisson 30 minutes"
Côte de cochon épinard cornichon,"4 côtes de cochon; 1 kg de jeunes pousses d'épinard; 50 g de cornichons; 3 oignons; 10 cl de muscat; 20 cl de crème fleurette; 30 g de beurre; 1 cuillerée à soupe d'huile d'olive; Sel, poivre","Éplucher et hacher finement les oignons. Émincer les cornichons dans le sens de la longueur. Rincer les jeunes pousses d'épinard. Dans une poêle, faire cuire les côtes de cochon avec le beurre et l'huile pendant 10 minutes de chaque côté. Enlever les côtes et les réserver sur un plat. Ajouter dans la poêle les oignons, laisser dorer, déglacer au muscat et ajouter les épinards puis la crème. Assaisonner, réchauffer les côtes dans ce mélange pendant 5 minutes et ajouter les cornichons avant de servir.","Préparation 15 minutes, Cuisson 30 minutes"
Échine fruits secs,"4 tranches d'échine; 2 oignons; 50 g de figues sèches; 50 g de pruneaux; 50 g de cranberries séchées; 200 g de potimarron; 1 brin de romarin; 15 cl de jus d'orange; 50 g de beurre; 3 cuillerées à soupe d'huile d'olive; Sel, poivre","Couper les figues et les pruneaux en deux. Éplucher le potimarron et le couper en tronçons. Éplucher et émincer les oignons. Dans une poêle, faire dorer dans l'huile les tranches d'échine avec le romarin, les oignons et le potimarron pendant 10 minutes de chaque côté. Réserver la viande dans une assiette. Ajouter les fruits secs dans la poêle, déglacer avec le jus d'orange et mélanger. Faire cuire pendant 5 minutes, ajouter le beurre et remettre les tranches d'échine dans la poêle. Napper de sauce et assaisonner.","Préparation 10 minutes, Cuisson 30 minutes"
Tofu quinoa romarin,"200 g de tofu; 150 g de quinoa; 1 échalote; 1 carotte; 1 brin de romarin; 1 petite courgette; 40 cl de bouillon de légumes; 50 g de beurre; 10 cl de crème liquide; Sel, poivre","Éplucher et émincer l'échalote. Peler la carotte et la couper, ainsi que la courgette, en petits cubes. Dans une poêle antiadhésive, faire revenir les légumes dans le beurre, puis ajouter le quinoa, le tofu et le romarin. Mouiller avec le bouillon et faire cuire pendant 15 minutes, en remuant régulièrement. Ajouter la crème et assaisonner.","Préparation 10 minutes, Cuisson 15 minutes"
Quinoa veggie avec quenelle de crème,"200 g de quinoa; 3 échalotes; 2 branches de céleri; 2 brins de persil plat; 3 brins d'aneth; 50 cl de bouillon de légumes; 3 cuillerées à soupe d'huile d'olive; 1 cuillerée à soupe de crème épaisse; 1 cuillerée à café de paprika; Sel, poivre","Éplucher et ciseler finement les échalotes. Ciseler finement le céleri avec ses feuilles ainsi que le persil et l'aneth. Dans une poêle antiadhésive, faire revenir à feu doux le céleri avec les échalotes dans l'huile d'olive pendant 5 minutes. Ajouter le quinoa et laisser dorer 2 minutes. Mouiller avec le bouillon et faire cuire à feu doux pendant 15 minutes, jusqu'à ce que le quinoa soit tendre. Assaisonner. Ajouter l'aneth et le persil, puis couvrir d'une quenelle de crème épaisse et parsemer le paprika.","Préparation 10 minutes, Cuisson 20 minutes"
Potiron radis tofu,1 bouquet de radis roses; 200 g de potiron; 100 g de tofu fumé; 1 cuillerée à soupe de poivre vert au vinaigre; 1 cuillerée à soupe de miel; 3 échalotes; 60 g de beurre; 30 cl de bouillon de légumes; Sel,"Couper les radis en gardant 1 cm de fane. Éplucher le potiron et le couper en morceaux. Éplucher et émincer grossièrement les échalotes. Couper le tofu en cubes de 1 cm. Dans une poêle, placer les légumes, les recouvrir de bouillon, ajouter le beurre et le miel, puis laisser réduire jusqu'à complète évaporation. Ajouter le tofu et le poivre vert, puis prolonger la cuisson de 5 minutes. Saler.","Préparation 15 minutes, Cuisson 10 minutes"
Pomme de terre mascarpone,4 belles pommes de terre type bintje; 150 g de mascarpone; 1 yaourt; 1 botte de ciboulette; 3 cuillerées à soupe d'huile d'olive; 50 g de beurre; 30 cl de bouillon de légumes; Fleur de sel,"Éplucher les pommes de terre et les poser entre deux crayons propres. Les inciser avec un couteau jusqu'au niveau des crayons. Dans une poêle antiadhésive, faire chauffer le beurre. Faire cuire les pommes de terre côté ouvert pendant 5 minutes. Les retourner et prolonger la cuisson de 5 minutes. Mouiller avec le bouillon de légumes, couvrir et faire cuire à feu doux pendant 10 minutes. Mélanger le mascarpone et le yaourt, ajouter la ciboulette ciselée ainsi que l'huile d'olive et assaisonner. Recouvrir les pommes de terre avec ce mélange.","Préparation 10 minutes, Cuisson 20 minutes"
